node_id,parent_id,level,topic,tags,widgets,links
1-2-1-2-1,1-2-1-2,5,Emphasis on FAIR principles,,,
1-2-1-2-2,1-2-1-2,5,"Expansion into health, geospatial, climate data",,,
1-2-1-2-3,1-2-1-2,5,"Ethical considerations: privacy, data governance",,,
1-2-2,1-2,3,4. Open Licensing,,,
1-2-2-1,1-2-2,4,Historical Background,,,
1-2-2-1-1,1-2-2-1,5,"GNU GPL (1989) introduced ""copyleft""",,,
1-2-2-1-2,1-2-2-1,5,Creative Commons (2001) standardized licensing,,,
1-2-2-1-3,1-2-2-1,5,Addressed legal ambiguity around reuse,,,
1-2-2-2,1-2-2,4,Current Focus,,,
1-2-2-2-1,1-2-2-2,5,"Broad adoption across academia, government",,,
1-2-2-2-2,1-2-2-2,5,"Fine-grained permission mechanisms (CC-BY, MIT, GPL)",,,
1-2-2-2-3,1-2-2-2,5,Legal backbone for data sharing & AI training,,,
1-2-3,1-2,3,5. Open Collaboration,,,
1-2-3-1,1-2-3,4,Historical Background,,,
1-2-3-1-1,1-2-3-1,5,Crowdsourced models (Wikipedia),,,
1-2-3-1-2,1-2-3-1,5,Inspired by peer-production theory,,,
1-2-3-1-3,1-2-3-1,5,Enabled by internet connectivity,,,
1-2-3-2,1-2-3,4,Current Focus,,,
1-2-3-2-1,1-2-3-2,5,"Used in citizen science, innovation ecosystems",,,
1-2-3-2-2,1-2-3-2,5,Shift to professional-volunteer hybrid ecosystems,,,
1-2-3-2-3,1-2-3-2,5,Transparency & shared governance,,,
